key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10020|상빠니|소개글이 없습니다.|60|7|0|착시(錯視)|이적|2적
10020|상빠니|소개글이 없습니다.|60|7|0|Dear|스윗소로우|Sweet Sorrow 3 Single Part 1
10020|상빠니|소개글이 없습니다.|60|7|0|다시 사랑한다면 (니글니글 버터플라이)|김필|복면가왕 47회
10020|상빠니|소개글이 없습니다.|60|7|0|Home|Michael Buble|It`s Time
10020|상빠니|소개글이 없습니다.|60|7|0|손잡아 줘요|이하이|SEOULITE
10020|상빠니|소개글이 없습니다.|60|7|0|떠나야 할 그 사람|잉키|시그널 OST Part.2
10020|상빠니|소개글이 없습니다.|60|7|0|길|김윤아|시그널 OST Part.4
10020|상빠니|소개글이 없습니다.|60|7|0|꽃이 피면|이승열|시그널 OST Part.7
10020|상빠니|소개글이 없습니다.|60|7|0|야 하고 싶어 (Feat. 시우민 of EXO)|지민 (AOA)|야 하고 싶어
10020|상빠니|소개글이 없습니다.|60|7|0|You Are My Everything|거미|태양의 후예 OST Part.4
10020|상빠니|소개글이 없습니다.|60|7|0|우리의 밤은 당신의 낮보다 아름답다|코나|Love (러브)
10020|상빠니|소개글이 없습니다.|60|7|0|Writer`s Block|E SENS|The Anecdote
10020|상빠니|소개글이 없습니다.|60|7|0|Girl Crush|마마무|이니시아 네스트 OST
10020|상빠니|소개글이 없습니다.|60|7|0|Nothing (Feat. 폴킴, 김건)|2LSON|Nothing
10020|상빠니|소개글이 없습니다.|60|7|0|팔당댐 (Feat. 빈지노)|에디킴|팔당댐
10020|상빠니|소개글이 없습니다.|60|7|0|Take Five|Dave Brubeck|Time Out
10020|상빠니|소개글이 없습니다.|60|7|0|Breezy|Wouter Hamel|Nobody`s Tune (Special Edition)
10020|상빠니|소개글이 없습니다.|60|7|0|김태욱의 마음에는 그대가 살고 있나봐|김태욱|김태욱 첫 번째 싱글앨범
10020|상빠니|소개글이 없습니다.|60|7|0|매일밤|EXID|매일밤
10020|상빠니|소개글이 없습니다.|60|7|0|March, April, May|Wouter Hamel|Nobody`s Tune (Special Edition)
10020|상빠니|소개글이 없습니다.|60|7|0|걱정말아요 그대|들국화|들국화
10020|상빠니|소개글이 없습니다.|60|7|0|1cm의 자존심|마마무|1cm의 자존심
10020|상빠니|소개글이 없습니다.|60|7|0|서울은 비|스윗소로우|FOR LOSERS ONLY
10020|상빠니|소개글이 없습니다.|60|7|0|what2do (Feat. Crush, Jeff Bernat)|DEAN|what2do (Feat. Crush, Jeff Bernat)
10020|상빠니|소개글이 없습니다.|60|7|0|Photograph|Ed Sheeran|X (Deluxe Edition)
10020|상빠니|소개글이 없습니다.|60|7|0|나의 구두|스윗소로우|2015 Winter Project `동행`
10020|상빠니|소개글이 없습니다.|60|7|0|Shape Of My Heart|Sting|Ten Summoner‘s Tales
10020|상빠니|소개글이 없습니다.|60|7|0|노래 불러줘요 (Feat. 아이유)|god|Chapter 8
10020|상빠니|소개글이 없습니다.|60|7|0|BestDriver (Feat. 개코 Of 다이나믹듀오)|행주|BestDriver
10020|상빠니|소개글이 없습니다.|60|7|0|팔베개|뜨거운 감자|Who Doesn`t Like Sweet Things.
10020|상빠니|소개글이 없습니다.|60|7|0|바라보기|엠씨더맥스|미녀의 탄생 OST Part 4
10020|상빠니|소개글이 없습니다.|60|7|0|벚꽃 엔딩|버스커 버스커|버스커 버스커 1집
10020|상빠니|소개글이 없습니다.|60|7|0|모르시나요|다비치|아이리스Ⅱ OST Part 1
10020|상빠니|소개글이 없습니다.|60|7|0|겨울이 오면 (Feat. 정준일)|조정치|유작
10020|상빠니|소개글이 없습니다.|60|7|0|믿어선 안될 말 (Live Ver.)|넬 (NELL)|Christmas In Nell`s Room
10020|상빠니|소개글이 없습니다.|60|7|0|독 (Feat. E-Sens Of 슈프림팀)|프라이머리|Primary And The Messengers LP
10020|상빠니|소개글이 없습니다.|60|7|0|허수아비|이하이|허수아비
10020|상빠니|소개글이 없습니다.|60|7|0|되돌리다|이승기|숲
10020|상빠니|소개글이 없습니다.|60|7|0|이미 넌 고마운 사람|홍대광|슈퍼스타 K4 Top 12 Part.2
10020|상빠니|소개글이 없습니다.|60|7|0|사랑해 봤니|이정|Thank You
10020|상빠니|소개글이 없습니다.|60|7|0|힐링이 필요해|로이킴|슈퍼스타K4 Top 12 Part.6
10020|상빠니|소개글이 없습니다.|60|7|0|사랑은 눈꽃처럼|XIA (준수)|세상 어디에도 없는 착한남자 OST Part.1
10020|상빠니|소개글이 없습니다.|60|7|0|청춘마끼아또|이지형|청춘마끼아또
10020|상빠니|소개글이 없습니다.|60|7|0|노래는 불빛처럼 달린다|페퍼톤스|Open Run
10020|상빠니|소개글이 없습니다.|60|7|0|가족|홍대광|슈퍼스타K4 Top12 Part.3
10020|상빠니|소개글이 없습니다.|60|7|0|? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)|프라이머리|Primary And The Messengers LP
10020|상빠니|소개글이 없습니다.|60|7|0|뭐라할까|브리즈|Counterblow
